"","ticker","name","sector","industry","PE_ratio","market_cap","short_name"
"137","DVN","Devon Energy Corporation","Energy","Oil & Gas E&P",7.717206,29023710000,"Devon Ener."
"138","DXCM","DexCom, Inc.","Healthcare","Medical Devices",136.362637,47361918594,"DexCom"
"139","EA","Electronic Arts Inc.","Communication Services","Electronic Gaming & Multimedia",37.688705,36797299614,"Elect. Arts"
"140","EBAY","eBay Inc.","Consumer Cyclical","Internet Retail",8.759036,22638780000,"eBay"
"141","ECL","Ecolab Inc.","Basic Materials","Specialty Chemicals",46.020882,56557483297,"Ecolab"
"142","ED","Consolidated Edison, Inc.","Utilities","Utilities—Regulated Electric",13.437223,31404643295,"Conso. Edi."
"143","EFX","Equifax, Inc.","Industrials","Consulting Services",58.599526,30470276537,"Equifax"
"144","EG","Everest Group, Ltd.","Financial Services","Insurance—Reinsurance",6.534467,15341986117,"Everest"
"145","EIX","Edison International","Utilities","Utilities—Regulated Electric",22.271028,27421327292,"Edison Int."
"146","EL","Estee Lauder Companies, Inc. (T","Consumer Defensive","Household & Personal Products",95.588235,52335064226,"Estee La. Co."
"147","ELV","Elevance Health, Inc.","Healthcare","Healthcare Plans",18.348638,110797329700,"Eleva. Hea."
"148","EMN","Eastman Chemical Company","Basic Materials","Specialty Chemicals",18.036145,10644856971,"Eastm. Che."
"149","EMR","Emerson Electric Company","Industrials","Specialty Industrial Machinery",26.163978,55626398606,"Emers. Ele."
"150","ENPH","Enphase Energy, Inc.","Technology","Solar",33.117794,18043877682,"Enpha. Ene."
"151","EOG","EOG Resources, Inc.","Energy","Oil & Gas E&P",8.972552,70531944361,"EOG Resour."
"152","EPAM","EPAM Systems, Inc.","Technology","Information Technology Services",37.074813,17156659533,"EPAM Syste."
"153","EQIX","Equinix, Inc.","Real Estate","REIT—Specialty",86.694295,75612770855,"Equinix"
"154","EQR","Equity Residential","Real Estate","REIT—Residential",35.210964,23223976963,"Equity Res."
"155","EQT","EQT Corporation","Energy","Oil & Gas E&P",5.29589,15902095120,"EQT"
"156","ES","Eversource Energy (D/B/A)","Utilities","Utilities—Regulated Electric",18.479042,21560413619,"Evers. Ene."
"157","ESS","Essex Property Trust, Inc.","Real Estate","REIT—Residential",30.422086,15913930715,"Essex Prop."
"158","ETN","Eaton Corporation, PLC","Industrials","Specialty Industrial Machinery",32.238286,96159426000,"Eaton"
"159","ETR","Entergy Corporation","Utilities","Utilities—Regulated Electric",14.580692,21398960358,"Entergy"
"160","ETSY","Etsy, Inc.","Consumer Cyclical","Internet Retail",32.813765,9705433886,"Etsy"
"161","EVRG","Evergy, Inc.","Utilities","Utilities—Regulated Electric",17.635135,11991423515,"Evergy"
"162","EW","Edwards Lifesciences Corporatio","Healthcare","Medical Devices",32.58547,46245625000,"Edwa. Li. Co."
"163","EXC","Exelon Corporation","Utilities","Utilities—Regulated Electric",16.706673,35736203234,"Exelon"
"164","EXPD","Expeditors International of Was","Industrials","Integrated Freight & Logistics",23.820225,18493527991,"Expe. In. of"
"165","EXPE","Expedia Group, Inc.","Consumer Cyclical","Travel Services",27.800366,21075773135,"Expedia"
"166","EXR","Extra Space Storage Inc","Real Estate","REIT—Industrial",30.250943,33874173201,"Extra Sp. St."
"167","F","Ford Motor Company","Consumer Cyclical","Auto Manufacturers",7.96732,48796014586,"Ford Motor"
"168","FANG","Diamondback Energy, Inc.","Energy","Oil & Gas E&P",8.79637,27756979997,"Diamo. Ene."
"169","FAST","Fastenal Company","Industrials","Industrial Distribution",32.712121,37022532000,"Fastenal"
"170","FCX","Freeport-McMoRan, Inc.","Basic Materials","Copper",28.38,61044411277,"Freep. McM."
"171","FDS","FactSet Research Systems Inc.","Financial Services","Financial Data & Stock Exchanges",37.662791,17258569700,"Fact. Re. Sy."
"172","FDX","FedEx Corporation","Industrials","Integrated Freight & Logistics",15.801587,64679688198,"FedEx"
"173","FE","FirstEnergy Corp.","Utilities","Utilities—Regulated Electric",38.589474,21036051411,"First. Corp"
"174","FFIV","F5, Inc.","Technology","Software—Infrastructure",27.325191,10686396624,"F5"
"175","FI","Fiserv, Inc.","Technology","Information Technology Services",27.849057,79728670513,"Fiserv"
"176","FICO","Fair Isaac Corproation","Technology","Software—Application",68.754282,28909197546,"Fair Is. Cor."
"177","FIS","Fidelity National Information S","Technology","Information Technology Services",44.346405,35590489912,"Fide. Na. In."
"178","FITB","Fifth Third Bancorp","Financial Services","Banks—Regional",9.826211,23488263085,"Fifth Th. Ba."
"179","FLT","FleetCor Technologies, Inc.","Technology","Software—Infrastructure",22.148119,20405608331,"Fleet. Tec."
"180","FMC","FMC Corporation","Basic Materials","Agricultural Inputs",13.414894,7866047825,"FMC"
"181","FOX","Fox Corporation","Communication Services","Entertainment",13.487805,13849026812,"Fox"
"182","FRT","Federal Realty Investment Trust","Real Estate","REIT—Retail",29.956395,8411266947,"Fede. Re. In."
"183","FSLR","First Solar, Inc.","Technology","Solar",38.977376,18407120843,"First Solar"
"184","FTNT","Fortinet, Inc.","Technology","Software—Infrastructure",40.645833,44945749063,"Fortinet"
"185","FTV","Fortive Corporation","Technology","Scientific & Technical Instruments",31.600858,25876053685,"Fortive"
"186","GD","General Dynamics Corporation","Industrials","Aerospace & Defense",21.6934,70863127636,"Gener. Dyn."
